,x,y,sem
0,1,9.144046384295502,2.852072074983786
1,2,15.966393282503855,4.2896544594089825
2,3,21.818916167468444,6.048318581037719
3,4,26.95985667813627,7.243243190753859
4,5,31.78215973894568,7.603857527616867
5,6,35.98775056416339,9.515978300408129
6,7,40.74849315387518,10.088683428437115
7,8,44.318505615211095,11.157984471515945
8,9,47.87820115051166,11.65424047302453
9,10,51.7230495571425,11.098574432716141
