state,type,stat,intercept_no,time_disp,spatial_disp
sleep,shuffled,sem,4.0,5.0,0.40849946354557254
sleep,shuffled,sem,4.0,6.0,0.4429239914409003
sleep,shuffled,sem,4.0,7.0,0.5290980866571445
sleep,shuffled,sem,4.0,8.0,0.594481032684625
sleep,shuffled,sem,5.0,1.0,0.3108037851715232
sleep,shuffled,sem,5.0,2.0,0.29872707044074814
sleep,shuffled,sem,5.0,3.0,0.3589556706479533
sleep,shuffled,sem,5.0,4.0,0.4309170618468823
sleep,shuffled,sem,5.0,5.0,0.43444567963587644
sleep,shuffled,sem,5.0,6.0,0.4989985064306823
sleep,shuffled,sem,5.0,7.0,0.49249403507920575
sleep,shuffled,sem,5.0,8.0,0.5820815300862657
awake,actual,mean,1.0,1.0,6.739432464136269
awake,actual,mean,1.0,2.0,10.780732674604558
awake,actual,mean,1.0,3.0,14.190419129834176
awake,actual,mean,1.0,4.0,17.2453982764529
awake,actual,mean,1.0,5.0,20.061093065412432
awake,actual,mean,1.0,6.0,22.699702978467837
awake,actual,mean,1.0,7.0,25.199607565723717
awake,actual,mean,1.0,8.0,27.58660015882396
awake,actual,mean,2.0,1.0,8.049432318981102
awake,actual,mean,2.0,2.0,12.557088444538012
awake,actual,mean,2.0,3.0,16.28767427851099
awake,actual,mean,2.0,4.0,19.58901745556999
awake,actual,mean,2.0,5.0,22.603963537757746
awake,actual,mean,2.0,6.0,25.408719319100786
awake,actual,mean,2.0,7.0,28.049945581836102
awake,actual,mean,2.0,8.0,30.55880402288141
awake,actual,mean,3.0,1.0,10.059580560902965
awake,actual,mean,3.0,2.0,15.761855150840686
awake,actual,mean,3.0,3.0,20.49703686765101
awake,actual,mean,3.0,4.0,24.696464856759693
awake,actual,mean,3.0,5.0,28.537742146027103
awake,actual,mean,3.0,6.0,32.11578496473187
awake,actual,mean,3.0,7.0,35.488788204453776
awake,actual,mean,3.0,8.0,38.69565927261016
awake,actual,mean,4.0,1.0,12.404844230972683
awake,actual,mean,4.0,2.0,19.03079937426582
awake,actual,mean,4.0,3.0,24.444519493509546
awake,actual,mean,4.0,4.0,29.195959101145263
awake,actual,mean,4.0,5.0,33.508743443086885
awake,actual,mean,4.0,6.0,37.501377495719915
awake,actual,mean,4.0,7.0,41.24604839725013
awake,actual,mean,4.0,8.0,44.79076317668508
awake,actual,mean,5.0,1.0,14.520835966648438
awake,actual,mean,5.0,2.0,21.079971285467785
awake,actual,mean,5.0,3.0,26.215781337133937
awake,actual,mean,5.0,4.0,30.60190132419149
awake,actual,mean,5.0,5.0,34.50337782580756
awake,actual,mean,5.0,6.0,38.057582847307515
awake,actual,mean,5.0,7.0,41.34678347780549
awake,actual,mean,5.0,8.0,44.42493549795041
awake,actual,sem,1.0,1.0,0.4659008425612585
awake,actual,sem,1.0,2.0,0.5993446183976827
awake,actual,sem,1.0,3.0,0.8061070523244862
awake,actual,sem,1.0,4.0,1.1385493289012276
awake,actual,sem,1.0,5.0,1.3621217399881709
awake,actual,sem,1.0,6.0,2.2260937164707277
awake,actual,sem,1.0,7.0,3.385753314250673
awake,actual,sem,1.0,8.0,3.8702959845950344
awake,actual,sem,2.0,1.0,0.45207235474234236
awake,actual,sem,2.0,2.0,0.5307630411199535
awake,actual,sem,2.0,3.0,0.7162073939019071
awake,actual,sem,2.0,4.0,0.8978761661925592
awake,actual,sem,2.0,5.0,1.2172190161533716
awake,actual,sem,2.0,6.0,1.5807170478261394
awake,actual,sem,2.0,7.0,1.870578540902785
awake,actual,sem,2.0,8.0,2.585492770273632
awake,actual,sem,3.0,1.0,0.9106550036529225
awake,actual,sem,3.0,2.0,1.0686989277169516
awake,actual,sem,3.0,3.0,1.351540629903147
awake,actual,sem,3.0,4.0,1.4802709523026514
awake,actual,sem,3.0,5.0,1.9383596961052119
awake,actual,sem,3.0,6.0,2.2799023762027777
awake,actual,sem,3.0,7.0,3.2082490788102667
awake,actual,sem,3.0,8.0,3.850910038169686
awake,actual,sem,4.0,1.0,1.523510756005823
awake,actual,sem,4.0,2.0,2.0065536807643403
awake,actual,sem,4.0,3.0,2.5347878327644384
awake,actual,sem,4.0,4.0,3.359756290409206
awake,actual,sem,4.0,5.0,6.1275095581680095
awake,actual,sem,4.0,6.0,6.9430331659459545
awake,actual,sem,4.0,7.0,9.413477464809485
awake,actual,sem,4.0,8.0,13.971325938868379
awake,actual,sem,5.0,1.0,2.128593626274535
awake,actual,sem,5.0,2.0,2.4897081063264035
awake,actual,sem,5.0,3.0,2.4989940291669526
awake,actual,sem,5.0,4.0,3.6341618753566496
awake,actual,sem,5.0,5.0,4.493144065776133
awake,actual,sem,5.0,6.0,4.850073817232588
awake,actual,sem,5.0,7.0,5.356276065470177
awake,actual,sem,5.0,8.0,5.8296310531657705
